# trial, us for 1000 calls
0, 1135118
1, 1128200
2, 1129970
3, 1147002
4, 1199070
5, 1349965
6, 1126832
7, 1157426
8, 1138169
9, 1177293
10, 1133390
11, 1131985
12, 1126187
13, 1131714
14, 1131387
15, 1126739
16, 1170894
17, 1150825
18, 1144899
19, 1121143
20, 1145412
21, 1133212
22, 1150072
23, 1219036
24, 1158936
25, 1129274
26, 1125936
27, 1157898
28, 1147614
29, 1176271
30, 1146277
31, 1150169
32, 1133636
33, 1144591
34, 1134961
35, 1132210
36, 1146744
37, 1150122
38, 1205119
39, 1960643
40, 1357941
41, 1129975
42, 1227881
43, 1158202
44, 1164942
45, 1138488
46, 1127735
47, 1155942
48, 1146570
49, 1185696
50, 1172502
51, 1137956
52, 1139357
53, 1144156
54, 1138349
55, 1137601
56, 1131725
57, 1133293
58, 1132738
59, 1130065
60, 1130205
61, 1128048
62, 1127129
63, 1127352
64, 1126846
65, 1154864
66, 1154587
67, 1144719
68, 1122703
69, 1127442
70, 1186522
71, 1146723
72, 1129863
73, 1135179
74, 1126988
75, 1143297
76, 1124797
77, 1163059
78, 1119284
79, 1228748
80, 1227531
81, 1157858
82, 1133057
83, 1166443
84, 1140740
85, 1112582
86, 1168497
87, 1132396
88, 1217579
89, 1127755
90, 1117635
91, 1137280
92, 1200656
93, 1192561
94, 1189069
95, 1217763
96, 1160997
97, 1112819
98, 1249583
99, 1173469
